tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,bbox_left_n,bbox_right_n,bbox_top_n,bbox_bottom_n,bbox_mds_1,bbox_mds_2,containment_mds,adjacency_mds,bbox_width_n,bbox_height_n,bbox_fill_area
svg/g_6/text_20,0.875,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02716413025691376,0.08607429225985926,0.8256520089717843,0.8528333082378892,0.14570661450309433,0.8333023312927601,0.4945243708827596,0.12884790810068267,0.05891016200294551,0.027181299266104922,0.5460634502511574
svg/g_6/text_19,0.875,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02716413025691376,0.08607429225985926,0.7156557439560719,0.7428370432221768,0.26277354586886215,0.8480550488559946,0.4945243708827596,0.10719009890144382,0.05891016200294551,0.027181299266104922,0.5460634502511574
svg/g_6/text_18,0.875,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02716413025691376,0.08607429225985926,0.6056594789403594,0.6328407782064643,0.37936352950918106,0.8635614299026532,0.4945243708827596,0.07831301996912662,0.05891016200294551,0.027181299266104922,0.5460634502511574
svg/g_6/text_17,0.875,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02716413025691376,0.08607429225985926,0.4956632139246472,0.5228445131907521,0.4953223047408181,0.8804908085724745,0.4945243708827596,0.3551976671615689,0.05891016200294551,0.027181299266104922,0.5460634502511574
svg/g_6/text_16,0.875,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02716413025691376,0.08607429225985926,0.3856669489089348,0.41284824817503973,0.6113002078142024,0.8979265588982424,0.4945243708827596,0.36241693689464793,0.05891016200294551,0.027181299266104922,0.5460634502511574
svg/g_6/text_15,0.875,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02716413025691376,0.08607429225985926,0.2756706838932225,0.30285198315932743,0.7230979063024984,0.9199709217459984,0.4945243708827596,0.3082724138965518,0.05891016200294551,0.027181299266104922,0.5460634502511574
svg/g_6/text_14,0.875,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02716413025691376,0.08607429225985926,0.1656744188775101,0.19285571814361507,0.8353330616600412,0.9457105468968755,0.4945243708827596,0.11801900350106347,0.05891016200294551,0.027181299266104922,0.5460634502511574
svg/g_6/text_13,0.875,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02716413025691376,0.08607429225985926,0.05567815386179774,0.08285945312790266,0.9500508587143736,0.9706479036013844,0.4945243708827596,0.12523827323414288,0.05891016200294551,0.027181299266104922,0.5460634502511574
svg/g_5/text_12,0.875,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0903289150711831,0.0,0.027181299266104922,1.0,1.0,0.4945243708827596,0.2777645000327068,0.0903289150711831,0.027181299266104922,0.5761982932596181
svg/g_4/path_10,0.75,1.0,2.0,1.0000000174532926,1e-08,1e-08,1.0,0.5,0.0,0.0,1.0,0.0603010963835706,0.0603010963835706,0.9532821418863822,0.9634751291111715,0.018250631803642916,0.8134516257850364,0.4945243708827596,0.4411727772669316,0.0,0.010192987224789346,0.0
